Name,Position Title,Agency Name,Agency Website,Nomination Date,Renomination,Confirmation Vote,Confirmed,Holdover
"Keshap, Atul",Ambassador to the Democratic Socialist Republic of Sri Lanka and the Republic of Maldives,Department of State,DOS (http://www.state.gov),03/26/2015,,08-05-15,1,FALSE
"Teplitz, Alaina",Ambassador to the Federal Democratic Republic of Nepal,Department of State,DOS (http://www.state.gov),03/26/2015,,08-05-15,1,FALSE
"Doherty, Kathleen A.",Ambassador to the Republic of Cyprus,Department of State,DOS (http://www.state.gov),03/25/2015,,08-05-15,1,FALSE
"Tamlyn, Lucy",Ambassador to the Republic of Benin,Department of State,DOS (http://www.state.gov),03/25/2015,,10-08-15,1,FALSE
"Prieto, Jeffrey Michael",General Counsel,Department of Agriculture,USDA (http://www.usda.gov),03/25/2015,,07/29/2015,1,FALSE
"Klemm, Hans",Ambassador to Romania,Department of State,DOS (http://www.state.gov),03/25/2015,,08-05-15,1,FALSE
"Council, LaVerne Horton",Assistant Secretary for Information and Technology,Department of Veterans Affairs,VA (http://www.va.gov),03/19/2015,,06/23/2015,1,FALSE
"Kramer, Douglas J.",Deputy Administrator,Small Business Administration,SBA (http://www.sba.gov),03/19/2015,,06-11-15,1,FALSE
"Shulkin, David J.",Under Secretary for Health,Department of Veterans Affairs,VA (http://www.va.gov),03/19/2015,,06/23/2015,1,FALSE
"Welby, Stephen Patrick",Assistant Secretary of Defense for Research and Engineering,Department of Defense,DOD (http://www.defense.gov),03/19/2015,,12/14/2015,1,FALSE
"Christman, Rick","Member, Board of Directors",Corporation for National and Community Service,CNCS (http://www.nationalservice.gov),03/19/2015,1,07/14/2015,1,FALSE
"Read, Andy",Member (Upon Appointment to be Designated Chair),Marine Mammal Commission,MMC (http://www.mmc.gov),03/19/2015,,,FALSE,FALSE
"Lowe, Shelly Colleen","Member, National Council on the Humanities",National Council on the Humanities,NCH (http://www.neh.gov/whoweare/council.html),03/19/2015,1,11/19/2015,1,FALSE
"Berman, Francine","Member, National Council on the Humanities",National Council on the Humanities,NCH (http://www.neh.gov/whoweare/council.html),03/19/2015,1,11/19/2015,1,FALSE
"Kelly, Ian",Ambassador to Georgia,Department of State,DOS (http://www.state.gov),03/16/2015,,06/24/2015,1,FALSE
"Loui-Schmicker, Patricia Mei Lin","Member, Board of Directors",Export-Import Bank of the United States,EXIM (http://www.exim.gov),03/16/2015,,,FALSE,FALSE
"Hale, David M.",Ambassador to the Islamic Republic of Pakistan,Department of State,DOS (http://www.state.gov),03-11-15,,08-05-15,1,FALSE
"Matthew, Kathryn Kahrs",Director,Institute of Museum and Library Services,IMLS (http://www.imls.gov),03-11-15,,09/22/2015,1,FALSE
"Ochoa, Carol Fortine",Inspector General,General Services Administration,GSA (http://www.gsa.gov),03-11-15,,07/29/2015,1,FALSE
"Sutherland, Vanessa Allen",Member,Chemical Safety and Hazard Investigation Board,CSHIB (http://www.csb.gov),03-11-15,,08-05-15,1,FALSE
"Sutherland, Vanessa Allen",Chair,Chemical Safety and Hazard Investigation Board,CSHIB (http://www.csb.gov),03-11-15,,08-05-15,1,FALSE
"Ayers, Edward L.",Member,National Council on the Humanities,NCH (http://www.neh.gov/whoweare/council.html),03-11-15,,,FALSE,FALSE
"Miller, James C.","Governor, Board of Governors",United States Postal Service,PSBG (http://about.usps.com/who-we-are/leadership/board-governors.htm),03-11-15,1,,FALSE,FALSE
"Crawford, Stephen","Governor, Board of Governors",United States Postal Service,PSBG (http://about.usps.com/who-we-are/leadership/board-governors.htm),03-11-15,1,,FALSE,FALSE
"Satz, Eric Martin","Member, Board of Directors",Tennessee Valley Authority,TVA (http://www.tva.gov),03-11-15,,08-05-15,1,FALSE
"Holloway, Perry Lee",Ambassador to the Co-operative Republic of Guyana,Department of State,DOS (http://www.state.gov),03-04-15,1,08-05-15,1,FALSE
"Levine, Peter Kemmerer",Deputy Chief Management Officer,Department of Defense,DOD (http://www.defense.gov),03-04-15,,05/23/2015,1,FALSE
"Conger, John Charles",Principal Deputy Under Secretary of Defense (Comptroller),Department of Defense,DOD (http://www.defense.gov),03-04-15,,12/14/2015,1,FALSE
"Delawie, Gregory Torrence",Ambassador to the Republic of Kosovo,Department of State,DOS (http://www.state.gov),03-04-15,,06/24/2015,1,FALSE
"Yudin, Michael Keith",Assistant Secretary for Special Education and Rehabilitative Services,Department of Education,DOEd (http://www.ed.gov),03-04-15,1,06-02-15,1,FALSE
"Sabharwal, Sunil",United States Alternate Executive Director,International Monetary Fund,IMF (http://www.imf.org),03-04-15,1,,FALSE,FALSE
"Sobel, Mark David",United States Executive Director,International Monetary Fund,IMF (http://www.imf.org),03-04-15,1,,FALSE,FALSE
"Meiburg, Albert Stanley",Deputy Administrator,Environmental Protection Agency,EPA (http://www.epa.gov),01/27/2015,,,FALSE,FALSE
"Kimball, Suzette M.",Director of the United States Geological Survey,Department of the Interior,DOI (http://www.doi.gov),02/26/2015,1,12/18/2015,1,FALSE
"Guilarte, Mileydi",United States Alternate Executive Director,Inter-American Development Bank,IADB (http://www.iadb.org),02/26/2015,1,,FALSE,FALSE
"Occomy, Marcia Denise",United States Director,African Development Bank,AfDB (http://www.afdb.org/en),02/26/2015,1,,FALSE,FALSE
"Eanes, Andrew LaMont",Deputy Commissioner,Social Security Administration,SSA (http://www.ssa.gov),02/26/2015,1,,FALSE,FALSE
"May, Willie Eugene",Under Secretary of Commerce for Standards and Technology,Department of Commerce,DOC (http://www.commerce.gov),02/25/2015,1,05-04-15,1,FALSE
"Wall, Anne",Deputy Under Secretary for Legislative Affairs (Designated an Assistant Secretary),Department of the Treasury,TREAS (http://www.treasury.gov),02/25/2015,,06/24/2015,1,FALSE
"Gerety, Amias Agassiz",Assistant Secretary for Financial Institutions,Department of the Treasury,TREAS (http://www.treasury.gov),02/25/2015,,,FALSE,FALSE
"Gwaltney, Sheila",Ambassador to the Kyrgyz Republic,Department of State,DOS (http://www.state.gov),02/25/2015,1,08-05-15,1,FALSE
"Regalbuto, Monica C.",Assistant Secretary for Environmental Management,Department of Energy,DOEn (http://www.energy.gov),02/25/2015,1,08-05-15,1,FALSE
"Barnett, Mickey Dee","Governor, Board of Governors",United States Postal Service,PSBG (http://about.usps.com/who-we-are/leadership/board-governors.htm),02/25/2015,1,,FALSE,FALSE
"Carpenter, Seth Bernard",Assistant Secretary for Financial Markets,Department of the Treasury,TREAS (http://www.treasury.gov),02-12-15,1,,FALSE,FALSE
"Adams, Charles C.",Ambassador to the Republic of Finland,Department of State,DOS (http://www.state.gov),02-12-15,1,06/24/2015,1,FALSE
"Phee, Mary Catherine",Ambassador to the Republic of South Sudan,Department of State,DOS (http://www.state.gov),02-12-15,1,06/24/2015,1,FALSE
"Mendelson, Sarah Elizabeth",Representative of the United States on the Economic and Social Council of the United Nations,United States Mission to the United Nations,USUN (http://www.usunnewyork.usmission.gov),02-12-15,,10-08-15,1,FALSE
"Nishida, Jane Toshiko",Assistant Administrator for International Affairs,Environmental Protection Agency,EPA (http://www.epa.gov),02-12-15,1,,FALSE,FALSE
"Fontenot, Brodi Lin",Chief Financial Officer,Department of the Treasury,TREAS (http://www.treasury.gov),02-12-15,1,,FALSE,FALSE
"Dunkin, Ann Elizabeth",Assistant Administrator for Environmental Information,Environmental Protection Agency,EPA (http://www.epa.gov),02-12-15,1,,FALSE,FALSE
"Willis, Deborah",Member,National Council on the Humanities,NCH (http://www.neh.gov/whoweare/council.html),02-12-15,1,,FALSE,FALSE
"Bennett, David Michael","Governor, Board of Governors",United States Postal Service,PSBG (http://about.usps.com/who-we-are/leadership/board-governors.htm),02-12-15,1,,FALSE,FALSE
"Pettit, Nancy Bikoff",Ambassador to the Republic of Latvia,Department of State,DOS (http://www.state.gov),02-05-15,1,06/24/2015,1,FALSE
"Cancian, Maria",Assistant Secretary for Children and Families,Department of Health and Human Services,HHS (http://www.hhs.gov),02-05-15,1,,FALSE,FALSE
"Haney, Stafford Fitzgerald",Ambassador to the Republic of Costa Rica,Department of State,DOS (http://www.state.gov),02-05-15,1,05/23/2015,1,FALSE
"Butts, Cassandra Quin",Ambassador to the Commonwealth of the Bahamas,Department of State,DOS (http://www.state.gov),02-05-15,1,,FALSE,FALSE
"Hart, Christopher Alvin",Chairman,National Transportation Safety Board,NTSB (http://www.ntsb.gov),02-05-15,1,03-12-15,1,FALSE
"Brown, Manson Kevin",Assistant Secretary for Environmental Observation and Prediction,Department of Commerce,DOC (http://www.commerce.gov),01/29/2015,1,03/16/2015,1,FALSE
"Doyle, William Paul",Commissioner,Federal Maritime Commission,FMC (http://www.fmc.gov),01/29/2015,1,03/23/2015,1,FALSE
"Yellen, Janet Louise",United States Alternate Governor,International Monetary Fund,IMF (http://www.imf.org),01/29/2015,1,,FALSE,FALSE
"Smith, Gentry Oswald",Director of the Office of Foreign Missions,Department of State,DOS (http://www.state.gov),01/29/2015,1,06/15/2015,1,FALSE
"Julius, Richard Todd",Member,Internal Revenue Service Oversight Board,IRSOB (http://www.treasury.gov/irsob),01/27/2015,,,FALSE,FALSE
"Tonsager, Dallas Paul",Member,Farm Credit Administration Board,FCA (http://www.fca.gov/index.html),01/26/2015,1,03-09-15,1,FALSE
"Farar, Sim",Member,United States Advisory Commission on Public Diplomacy,UACPD (http://www.state.gov/pdcommission/index.htm),01/26/2015,1,09/17/2015,1,FALSE
"Hybl, William Joseph",Member,United States Advisory Commission on Public Diplomacy,UACPD (http://www.state.gov/pdcommission/index.htm),01/26/2015,1,09/17/2015,1,FALSE
"McGuire, Matthew",United States Executive Director,International Bank for Reconstruction and Development [World Bank],IBRD (http://www.worldbank.org),01/16/2015,1,06/15/2015,1,FALSE
"Egan, Brian James",Legal Adviser of the Department of State,Department of State,DOS (http://www.state.gov),01/16/2015,1,,FALSE,FALSE
"Mendez, John E.","Member, Board of Directors, and upon appointment to be designated Chairman",Securities Investor Protection Corporation,SIPC (http://www.sipc.org/index.cfm),01/16/2015,1,,FALSE,FALSE
"Lerner, Jay Neal",Inspector General,Federal Deposit Insurance Corporation,FDIC (http://www.fdic.gov),01/13/2015,1,,FALSE,FALSE
"Starzak, Alissa",General Counsel of the Army,Department of the Army,DOD-AR (http://www.army.mil),01/13/2015,1,12/14/2015,1,FALSE
"Monje Jr., Carlos Alberto",Assistant Secretary for Transportation Policy,Department of Transportation,DOT (http://www.dot.gov),01/13/2015,1,03/16/2015,1,FALSE
"Elliott, III, Daniel R.",Member (Designated Chair),Surface Transportation Board,STB (http://www.stb.dot.gov/stb/index.html),01/13/2015,1,06/22/2015,1,FALSE
"Cordero, Mario Dwight",Commissioner,Federal Maritime Commission,FMC (http://www.fmc.gov),01/13/2015,1,10-08-15,1,FALSE
"Beck, Allison Chernikoff",Director,Federal Mediation and Conciliation Service,FMCS (http://www.fmcs.gov),01-08-15,1,07/29/2015,1,FALSE
"Lee, Michelle K.",Under Secretary for Intellectual Property and Director of the United States Patent and Trademark Office,Department of Commerce,DOC (http://www.commerce.gov),01-08-15,1,03-09-15,1,FALSE
"Yates, Sally Quillian",Deputy Attorney General,Department of Justice,DOJ (http://www.usdoj.gov),01-08-15,,05/13/2015,1,FALSE
"Folmsbee, Paul",Ambassador to the Republic of Mali,Department of State,DOS (http://www.state.gov),01-08-15,1,05/23/2015,1,FALSE
"McMillan, Therese Watkins",Federal Transit Administrator,Department of Transportation,DOT (http://www.dot.gov),01-08-15,1,,FALSE,FALSE
"Torres, Carlos J.",Deputy Director,Peace Corps,PC (http://www.peacecorps.gov),01-08-15,1,12/18/2015,1,FALSE
"Botticelli, Michael Patrick",Director,Office of National Drug Control Policy,EOP-ONDCP (http://www.ondcp.gov),01-08-15,1,02-09-15,1,FALSE
"Haverkamp, Jennifer Ann",Assistant Secretary for Oceans and International Environmental and Scientific Affairs,Department of State,DOS (http://www.state.gov),01-08-15,1,,FALSE,FALSE
"Lopez, Rafael Joseph","Commissioner on Children, Youth, and Families",Department of Health and Human Services,HHS (http://www.hhs.gov),01-08-15,1,08-05-15,1,FALSE
"Bond, Michele Thoren",Assistant Secretary of State (Consular Affairs),Department of State,DOS (http://www.state.gov),01-08-15,1,08-05-15,1,FALSE
"Raji, Azita",Ambassador to the Kingdom of Sweden,Department of State,DOS (http://www.state.gov),01-08-15,1,,FALSE,FALSE
"Newman, Dava Jean",Deputy Administrator,National Aeronautics and Space Administration,NASA (http://www.nasa.gov),01-08-15,1,04/27/2015,1,FALSE
"Sarri, Kristen Joan","Assistant Secretary for Policy, Management and Budget",Department of the Interior,DOI (http://www.doi.gov),01-08-15,,,FALSE,FALSE
"Scarano, Mark",Federal Cochairperson,Northern Border Regional Commission,,01-08-15,1,05/21/2015,1,FALSE
"Jayaratne, Adri Davin",Assistant Secretary for Congressional and Intergovernmental Affairs,Department of Labor,DOL (http://www.dol.gov),01-08-15,1,,FALSE,FALSE
"Deyo, Russell Carter",Under Secretary for Management,Department of Homeland Security,DHS (http://www.dhs.gov),01-08-15,1,04/16/2015,1,FALSE
"Marti, Daniel Henry",Intellectual Property Enforcement Coordinator,Office of Management and Budget,EOP-OMB (http://www.omb.gov),01-08-15,1,03-09-15,1,FALSE
"Lago, Marisa Louise",Deputy United States Trade Representative,Office of the United States Trade Representative,EOP-USTR (http://www.ustr.gov),01-08-15,1,,FALSE,FALSE
"Hughes, Victoria Ann","Member, Board of Directors",Corporation for National and Community Service,CNCS (http://www.nationalservice.gov),01-08-15,1,07/14/2015,1,FALSE
"Liu, Eric P.","Member, Board of Directors",Corporation for National and Community Service,CNCS (http://www.nationalservice.gov),01-08-15,1,07/14/2015,1,FALSE
"Dixon, Romonia","Member, Board of Directors",Corporation for National and Community Service,CNCS (http://www.nationalservice.gov),01-08-15,1,07/14/2015,1,FALSE
"Cahill, Patricia Deal","Member, Board of Directors",Corporation for Public Broadcasting,CPB (http://www.cpb.org),01-08-15,,05/21/2015,1,FALSE
"Kulinowski, Kristen M.",Member,Chemical Safety and Hazard Investigation Board,CSHIB (http://www.csb.gov),01-08-15,,08-05-15,1,FALSE
"Hall, Jeffery S.",Member,Farm Credit Administration Board,FCA (http://www.fca.gov/index.html),01-08-15,1,03-09-15,1,FALSE
"Young, Michael",Member,Federal Mine Safety and Health Review Commission,FMSH (http://www.fmshrc.gov),01-08-15,1,03/27/2015,1,FALSE
"Jordan, Mary Lucille",Member (Designated Chairman 4/2/2015),Federal Mine Safety and Health Review Commission,FMSH (http://www.fmshrc.gov),01-08-15,1,03/27/2015,1,FALSE
"Jones, David Avren",Member,Federal Retirement Thrift Investment Board,FRTIB (http://www.frtib.gov),01-08-15,1,03/27/2015,1,FALSE
"Kennedy, Michael Denard",Member (Designated Chairman),Federal Retirement Thrift Investment Board,FRTIB (http://www.frtib.gov),01-08-15,1,03/27/2015,1,FALSE
"Rodriguez, Diane",Member,National Council on the Arts,NCA (http://www.nea.gov/about/NCA/About_NCA.html),01-08-15,,11/19/2015,1,FALSE
"Hood, Walter",Member,National Council on the Arts,NCA (http://www.nea.gov/about/NCA/About_NCA.html),01-08-15,,,FALSE,FALSE
"Chaudhuri, Jonodev Osceola",Chairman,National Indian Gaming Commission,NIGC (http://www.nigc.gov),01-08-15,1,04/16/2015,1,FALSE
"Dinh-Zarr, Bella",Member (Designated Vice Chairman 3/30/2015),National Transportation Safety Board,NTSB (http://www.ntsb.gov),01-08-15,1,03-12-15,1,FALSE
"Parekh, Deven Jawahar","Member, Board of Directors",Overseas Private Investment Corporation,OPIC (http://www.opic.gov),01-08-15,1,,FALSE,FALSE
"Fisher, Todd Andrew","Member, Board of Directors",Overseas Private Investment Corporation,OPIC (http://www.opic.gov),01-08-15,1,,FALSE,FALSE
"Shapira, David S.","Governor, Board of Governors",United States Postal Service,PSBG (http://about.usps.com/who-we-are/leadership/board-governors.htm),01-08-15,1,,FALSE,FALSE
"Barrows, Walter Albert",Member,Railroad Retirement Board,RRB (http://www.rrb.gov),01-08-15,1,,FALSE,FALSE
"Carter, Ashton Baldwin",Secretary of Defense,Department of Defense,DOD (http://www.defense.gov),01-07-15,,02-12-15,1,FALSE
"Lynch, Loretta",Attorney General,Department of Justice,DOJ (http://www.usdoj.gov),01-07-15,1,04/23/2015,1,FALSE
"Landon, Allan R.","Member, Board of Governors",Federal Reserve System,FED (http://www.federalreserve.gov),01-07-15,,,FALSE,FALSE
"Rosekind, Mark R.",Administrator of the National Highway Traffic Safety Administration,Department of Transportation,DOT (http://www.dot.gov),11/19/2014,,12/16/2014,1,FALSE
"Baran, Jeffery Martin",Member,Nuclear Regulatory Commission,NRC (http://www.nrc.gov),11/13/2014,,12-08-14,1,FALSE
"Bradley, Leigh A.",General Counsel,Department of Veterans Affairs,VA (http://www.va.gov),11-12-14,,12/16/2014,1,FALSE
"Berteau, David John",Assistant Secretary of Defense for Logistics and Materiel Readiness,Department of Defense,DOD (http://www.defense.gov),11-12-14,,12/16/2014,1,FALSE
"Rasmussen, Nicholas J.",Director of the National Counterterrorism Center,Office of the Director of National Intelligence,DNI (http://www.dni.gov),11-12-14,,12/16/2014,1,FALSE
"Blinken, Antony",Deputy Secretary of State,Department of State,DOS (http://www.state.gov),11-12-14,,12/16/2014,1,FALSE
"Aron, Leon Rabinovich",Member,Broadcasting Board of Governors,BBG (http://www.bbg.gov),11-12-14,,12-12-14,1,FALSE
"O'Rielly, Michael",Commissioner,Federal Communications Commission,FCC (http://www.fcc.gov),11-12-14,,12/16/2014,1,FALSE
"McFerran, Lauren McGarity",Member,National Labor Relations Board,NLRB (http://www.nlrb.gov),11-12-14,,12-08-14,1,FALSE
"Verma, Richard",Ambassador to India,Department of State,DOS (http://www.state.gov),09/18/2014,,12-09-14,1,FALSE
"Pietrzyk, Joseph Walter","Member, Board of Directors",Legal Services Corporation,LSC (http://www.lsc.gov),09/18/2014,,12/16/2014,1,FALSE
"Coleman, Isobel Derouet","Representative of the United States of America to the United Nations for U.N. Management and Reform, with the rank of Ambassador",United States Mission to the United Nations,USUN (http://www.usunnewyork.usmission.gov),09/15/2014,,12/16/2014,1,FALSE
"Scher, Robert","Assistant Secretary of Defense for Strategy, Plans, and Capabilities",Department of Defense,DOD (http://www.defense.gov),09/15/2014,,12/16/2014,1,FALSE
"Burrows, Charlotte Argretta",Commissioner,Equal Employment Opportunity Commission,EEOC (http://www.eeoc.gov),09/15/2014,,12-03-14,1,FALSE
"McKinley, P. Michael",Ambassador to the Islamic Republic of Afghanistan,Department of State,DOS (http://www.state.gov),09-08-14,,12-09-14,1,FALSE
"Saldana, Sarah Ruth",Assistant Secretary for Immigration and Customs Enforcement,Department of Homeland Security,DHS (http://www.dhs.gov),09-08-14,,12/16/2014,1,FALSE
"Honorable, Colette Dodson",Commissioner,Federal Energy Regulatory Commission,FERC (http://www.ferc.gov),09-08-14,,12/16/2014,1,FALSE
"Walter, Ronald Anderson","Member, Board of Directors",Tennessee Valley Authority,TVA (http://www.tva.gov),09-08-14,,12-09-14,1,FALSE
"Lodge, Virginia","Member, Board of Directors",Tennessee Valley Authority,TVA (http://www.tva.gov),09-08-14,,12-09-14,1,FALSE
"Yamate, Robert",Ambassador to the Republic of Madagascar and the Union of Comoros,Department of State,DOS (http://www.state.gov),07/31/2014,,11/19/2014,1,FALSE
"Lopez, Patrick David",General Counsel,Equal Employment Opportunity Commission,EEOC (http://www.eeoc.gov),07/31/2014,,12-03-14,1,FALSE
"Saperstein, David Nathan",Ambassador at Large for International Religious Freedom,Department of State,DOS (http://www.state.gov),07/29/2014,,12-12-14,1,FALSE
"Frieden, Thomas",Representative of the United States on the Executive Board of the World Health Organization,Department of State,DOS (http://www.state.gov),07/28/2014,,09/18/2014,1,FALSE
"Spratlen, Pamela Leora",Ambassador to the Republic of Uzbekistan,Department of State,DOS (http://www.state.gov),07/28/2014,,11/20/2014,1,FALSE
"Burns, Stephen Gilbert",Member (Designated Chairman 1/1/2015),Nuclear Regulatory Commission,NRC (http://www.nrc.gov),07/23/2014,,09/16/2014,1,FALSE
"Palmer, Virginia Evelyn",Ambassador to the Republic of Malawi,Department of State,DOS (http://www.state.gov),07/21/2014,,12-12-14,1,FALSE
"Fulghum, Charles Hayden",Chief Financial Officer,Department of Homeland Security,DHS (http://www.dhs.gov),07/21/2014,,09/18/2014,1,FALSE
"Roebuck, William V.",Ambassador to the Kingdom of Bahrain,Department of State,DOS (http://www.state.gov),07/21/2014,,11/18/2014,1,FALSE
"Leaf, Barbara Anne",Ambassador to the United Arab Emirates,Department of State,DOS (http://www.state.gov),07/21/2014,,11/17/2014,1,FALSE
"Huffman, James L.","Member, Board of Trustees",Morris K. and Stewart L. Udall Foundation,UDALL (http://www.udall.gov),07/21/2014,,12/16/2014,1,FALSE
"Masterson, Matthew Vincent",Member,Election Assistance Commission,EAC (http://www.eac.gov),07/17/2014,,12/16/2014,1,FALSE
"McCormick, Christy A.",Member,Election Assistance Commission,EAC (http://www.eac.gov),07/17/2014,,12/16/2014,1,FALSE
"Mills, Jr., Richard M.",Ambassador to the Republic of Armenia,Department of State,DOS (http://www.state.gov),07/14/2014,,12/16/2014,1,FALSE
"Allen, Craig",Ambassador to Brunei Darussalam,Department of State,DOS (http://www.state.gov),07/14/2014,,11/18/2014,1,FALSE
"Hartley, Jane Dorothy",Ambassador to the Principality of Monaco,Department of State,DOS (http://www.state.gov),07/14/2014,,09/16/2014,1,FALSE
"Rung, Anne Elizabeth",Administrator for Federal Procurement Policy,Office of Management and Budget,EOP-OMB (http://www.omb.gov),07/14/2014,,09-11-14,1,FALSE
"Nimmich, Joseph Lawrence",Deputy Administrator of the Federal Emergency Management Agency,Department of Homeland Security,DHS (http://www.dhs.gov),07/14/2014,,09-11-14,1,FALSE
"Tefft, John Francis",Ambassador to the Russian Federation,Department of State,DOS (http://www.state.gov),07/14/2014,,07/31/2014,1,FALSE
"Sison, Michele Jeanne","Deputy Representative of the United States to the United Nations, with the rank of Ambassador, and Deputy Representative of the United States in the Security Council of the United Nations",United States Mission to the United Nations,USUN (http://www.usunnewyork.usmission.gov),07-09-14,,11/19/2014,1,FALSE
"Cefkin, Judith B.","Ambassador to the Republic of the Fiji Islands, the Republic of Nauru, the Kingdom of Tonga, Tuvalu, and the Republic of Kiribati",Department of State,DOS (http://www.state.gov),07-09-14,,11/19/2014,1,FALSE
"Uyehara, Margaret A.",Ambassador to Montenegro,Department of State,DOS (http://www.state.gov),07-09-14,,12/16/2014,1,FALSE
"Sherwood-Randall, Elizabeth",Deputy Secretary of Energy,Department of Energy,DOEn (http://www.energy.gov),07-09-14,,09/18/2014,1,FALSE
"Baily, Jess L.",Ambassador to the Republic of Macedonia,Department of State,DOS (http://www.state.gov),07-09-14,,12/16/2014,1,FALSE
"Zumwalt, James",Ambassador to the Republic of Senegal and the Republic of Guinea Bissau,Department of State,DOS (http://www.state.gov),07-09-14,,11/18/2014,1,FALSE
"Cekuta, Robert F.",Ambassador to the Republic of Azerbaijan,Department of State,DOS (http://www.state.gov),07-09-14,,12/16/2014,1,FALSE
"McDonald, Robert",Secretary of Veteran Affairs,Department of Veterans Affairs,VA (http://www.va.gov),07-07-14,,07/29/2014,1,FALSE
"Pressman, David Jason","Alternate Representative of the United States for Special Political Affairs in the United Nations, with the rank of Ambassador",United States Mission to the United Nations,USUN (http://www.usunnewyork.usmission.gov),06/16/2014,,09/17/2014,1,FALSE
"Hartley, Brent Robert",Ambassador to the Republic of Slovenia,Department of State,DOS (http://www.state.gov),06/16/2014,,11/20/2014,1,FALSE
"Heflin, Donald L.",Ambassador to the Republic of Cape Verde,Department of State,DOS (http://www.state.gov),06/16/2014,,12-12-14,1,FALSE
"Barks Ruggles, Erica Jean",Ambassador to the Republic of Rwanda,Department of State,DOS (http://www.state.gov),06/16/2014,,11/17/2014,1,FALSE
"Miller, Earl R.",Ambassador to the Republic of Botswana,Department of State,DOS (http://www.state.gov),06/16/2014,,11/19/2014,1,FALSE
"Hartley, Jane Dorothy",Ambassador to France,Department of State,DOS (http://www.state.gov),06-09-14,,09/16/2014,1,FALSE
"Pugh, Cary Douglas",Judge,United States Tax Court,USTC (http://www.ustaxcourt.gov),06-09-14,,11/20/2014,1,FALSE
"O'Malley, Kevin Francis",Ambassador to Ireland,Department of State,DOS (http://www.state.gov),06-05-14,,09/18/2014,1,FALSE
"Santos, Daniel Joel",Member,Defense Nuclear Facilities Safety Board,DNFSB (http://www.dnfsb.gov),06-05-14,,12/16/2014,1,FALSE
"Mustard, Allan P.",Ambassador to Turkmenistan,Department of State,DOS (http://www.state.gov),06-04-14,,11/19/2014,1,FALSE
"Bass, John R.",Ambassador to the Republic of Turkey,Department of State,DOS (http://www.state.gov),06-04-14,,09/17/2014,1,FALSE
"Bassett, Leslie Ann",Ambassador to the Republic of Paraguay,Department of State,DOS (http://www.state.gov),06-04-14,,11/18/2014,1,FALSE
"Robinson, Todd D.",Ambassador to the Republic of Guatemala,Department of State,DOS (http://www.state.gov),06-04-14,,09/16/2014,1,FALSE
"Castro, Julián",Secretary of Housing and Urban Development,Department of Housing and Urban Development,HUD (http://www.hud.gov),06-02-14,,07-09-14,1,FALSE
"Donovan, Shaun",Director,Office of Management and Budget,EOP-OMB (http://www.omb.gov),06-02-14,,07-10-14,1,FALSE
"Andrews, Bruce H.",Deputy Secretary of Commerce,Department of Commerce,DOC (http://www.commerce.gov),05/22/2014,,07/24/2014,1,FALSE
"Wertheimer, Laura Susan",Inspector General,Federal Housing Finance Agency,FHFA (http://www.fhfa.gov),05/22/2014,,09/17/2014,1,FALSE
"Pettit, James D.",Ambassador to the Republic of Moldova,Department of State,DOS (http://www.state.gov),05/22/2014,,11/20/2014,1,FALSE
"Jadotte, Marcus",Assistant Secretary for Industry and Analysis,Department of Commerce,DOC (http://www.commerce.gov),05/22/2014,,12/16/2014,1,FALSE
"Bernicat, Marcia",Ambassador to the People's Republic of Bangladesh,Department of State,DOS (http://www.state.gov),05/22/2014,,11/18/2014,1,FALSE
"Rogoff, Peter Matthew",Under Secretary for Policy,Department of Transportation,DOT (http://www.dot.gov),05/15/2014,,07/24/2014,1,FALSE
"Mendez, Victor M.",Deputy Secretary of Transportation,Department of Transportation,DOT (http://www.dot.gov),05/15/2014,,07/24/2014,1,FALSE
"Osius, Theodore G.",Ambassador to the Socialist Republic of Vietnam,Department of State,DOS (http://www.state.gov),05/15/2014,,11/17/2014,1,FALSE
"Polaschik, Joan Angela",Ambassador to the People's Democratic Republic of Algeria,Department of State,DOS (http://www.state.gov),05/15/2014,,07/29/2014,1,FALSE
"Adler, Robert Sanford",Commissioner,Consumer Product Safety Commission,CPSC (http://www.cpsc.gov),05/15/2014,,12-02-14,1,FALSE
"Jones, Stuart",Ambassador to the Republic of Iraq,Department of State,DOS (http://www.state.gov),05-12-14,,06/26/2014,1,FALSE
"Mensah, Lisa Afua Serwah",Under Secretary for Rural Development,Department of Agriculture,USDA (http://www.usda.gov),05-12-14,,11/20/2014,1,FALSE
"Beecroft, Robert Stephen",Ambassador to the Arab Republic of Egypt,Department of State,DOS (http://www.state.gov),05-12-14,,06/26/2014,1,FALSE
"Nealon, James",Ambassador to the Republic of Honduras,Department of State,DOS (http://www.state.gov),05-05-14,,07/15/2014,1,FALSE
"Shell Smith, Dana",Ambassador to the State of Qatar,Department of State,DOS (http://www.state.gov),05-05-14,,07-10-14,1,FALSE
"Wada, Debra Sadako",Assistant Secretary of the Army for Manpower and Reserve Affairs,Department of the Army,DOD-AR (http://www.army.mil),05-05-14,,09/17/2014,1,FALSE
"Krol, George Albert",Ambassador to the Republic of Kazakhstan,Department of State,DOS (http://www.state.gov),05-05-14,,11/20/2014,1,FALSE
"Lippert, Mark William",Ambassador to the Republic of Korea,Department of State,DOS (http://www.state.gov),05-05-14,,09/18/2014,1,FALSE
